OSIEmp;OSIM;OSIA;OSIEst;OSICant
America Movil Peru S.A.C.;ene-17;2017;Sustraídos;63.710
America Movil Peru S.A.C.;ene-17;2017;Recuperados;5.902
America Movil Peru S.A.C.;ene-17;2017;Perdidos;32.283
Entel Peru S.A.;ene-17;2017;Recuperados;4.452
Entel Peru S.A.;ene-17;2017;Sustraídos;52.146
Flash Servicios Peru S.R.L.;ene-17;2017;Perdidos;12
Flash Servicios Peru S.R.L.;ene-17;2017;Sustraídos;106
Flash Servicios Peru S.R.L.;ene-17;2017;Recuperados;2
Telefonica del Peru S.A.A.;ene-17;2017;Sustraídos;81.018
Telefonica del Peru S.A.A.;ene-17;2017;Perdidos;36.563
Telefonica del Peru S.A.A.;ene-17;2017;Recuperados;5.451
Viettel Peru S.A.C.;ene-17;2017;Perdidos;1.923
Viettel Peru S.A.C.;ene-17;2017;Recuperados;189
Viettel Peru S.A.C.;ene-17;2017;Sustraídos;5.264
America Movil Peru S.A.C.;feb-17;2017;Recuperados;5.461
America Movil Peru S.A.C.;feb-17;2017;Sustraídos;61.650
America Movil Peru S.A.C.;feb-17;2017;Perdidos;29.327
Entel Peru S.A.;feb-17;2017;Recuperados;4.072
Entel Peru S.A.;feb-17;2017;Sustraídos;51.483
Flash Servicios Peru S.R.L.;feb-17;2017;Sustraídos;102
Flash Servicios Peru S.R.L.;feb-17;2017;Recuperados;3
Flash Servicios Peru S.R.L.;feb-17;2017;Perdidos;8
Telefonica del Peru S.A.A.;feb-17;2017;Sustraídos;74.695
Telefonica del Peru S.A.A.;feb-17;2017;Recuperados;4.762
Telefonica del Peru S.A.A.;feb-17;2017;Perdidos;31.353
Viettel Peru S.A.C.;feb-17;2017;Sustraídos;5.422
Viettel Peru S.A.C.;feb-17;2017;Perdidos;1.847
Viettel Peru S.A.C.;feb-17;2017;Recuperados;206
America Movil Peru S.A.C.;mar-17;2017;Sustraídos;65.506
America Movil Peru S.A.C.;mar-17;2017;Perdidos;30.347
America Movil Peru S.A.C.;mar-17;2017;Recuperados;5.655
Entel Peru S.A.;mar-17;2017;Recuperados;3.752
Entel Peru S.A.;mar-17;2017;Perdidos;1
Entel Peru S.A.;mar-17;2017;Sustraídos;50.709
Flash Servicios Peru S.R.L.;mar-17;2017;Recuperados;6
Flash Servicios Peru S.R.L.;mar-17;2017;Sustraídos;101
Flash Servicios Peru S.R.L.;mar-17;2017;Perdidos;7
Telefonica del Peru S.A.A.;mar-17;2017;Recuperados;4.815
Telefonica del Peru S.A.A.;mar-17;2017;Sustraídos;75.495
Telefonica del Peru S.A.A.;mar-17;2017;Perdidos;30.424
Viettel Peru S.A.C.;mar-17;2017;Perdidos;2.160
Viettel Peru S.A.C.;mar-17;2017;Recuperados;164
Viettel Peru S.A.C.;mar-17;2017;Sustraídos;5.678
America Movil Peru S.A.C.;abr-17;2017;Sustraídos;62.257
America Movil Peru S.A.C.;abr-17;2017;Recuperados;5.149
America Movil Peru S.A.C.;abr-17;2017;Perdidos;28.130
Entel Peru S.A.;abr-17;2017;Sustraídos;46.497
Entel Peru S.A.;abr-17;2017;Recuperados;2.816
Flash Servicios Peru S.R.L.;abr-17;2017;Recuperados;3
Flash Servicios Peru S.R.L.;abr-17;2017;Perdidos;9
Flash Servicios Peru S.R.L.;abr-17;2017;Sustraídos;99
Telefonica del Peru S.A.A.;abr-17;2017;Sustraídos;71.707
Telefonica del Peru S.A.A.;abr-17;2017;Recuperados;3.889
Telefonica del Peru S.A.A.;abr-17;2017;Perdidos;27.660
Viettel Peru S.A.C.;abr-17;2017;Sustraídos;13.814
Viettel Peru S.A.C.;abr-17;2017;Perdidos;2.236
Viettel Peru S.A.C.;abr-17;2017;Recuperados;160
America Movil Peru S.A.C.;may-17;2017;Perdidos;29.626
America Movil Peru S.A.C.;may-17;2017;Recuperados;5.755
America Movil Peru S.A.C.;may-17;2017;Sustraídos;66.488
Entel Peru S.A.;may-17;2017;Recuperados;3.288
Entel Peru S.A.;may-17;2017;Sustraídos;49.914
Entel Peru S.A.;may-17;2017;Perdidos;1
Flash Servicios Peru S.R.L.;may-17;2017;Perdidos;5
Flash Servicios Peru S.R.L.;may-17;2017;Sustraídos;74
Telefonica del Peru S.A.A.;may-17;2017;Recuperados;5.558
Telefonica del Peru S.A.A.;may-17;2017;Perdidos;27.624
Telefonica del Peru S.A.A.;may-17;2017;Sustraídos;75.376
Viettel Peru S.A.C.;may-17;2017;Perdidos;2.373
Viettel Peru S.A.C.;may-17;2017;Recuperados;279
Viettel Peru S.A.C.;may-17;2017;Sustraídos;7.188
America Movil Peru S.A.C.;jun-17;2017;Perdidos;27.756
America Movil Peru S.A.C.;jun-17;2017;Recuperados;5.719
America Movil Peru S.A.C.;jun-17;2017;Sustraídos;60.160
Entel Peru S.A.;jun-17;2017;Sustraídos;50.770
Entel Peru S.A.;jun-17;2017;Recuperados;3.333
Flash Servicios Peru S.R.L.;jun-17;2017;Recuperados;3
Flash Servicios Peru S.R.L.;jun-17;2017;Sustraídos;61
Flash Servicios Peru S.R.L.;jun-17;2017;Perdidos;1
Telefonica del Peru S.A.A.;jun-17;2017;Sustraídos;70.447
Telefonica del Peru S.A.A.;jun-17;2017;Recuperados;3.860
Telefonica del Peru S.A.A.;jun-17;2017;Perdidos;22.342
Viettel Peru S.A.C.;jun-17;2017;Sustraídos;7.511
Viettel Peru S.A.C.;jun-17;2017;Perdidos;2.489
Viettel Peru S.A.C.;jun-17;2017;Recuperados;272
America Movil Peru S.A.C.;jul-17;2017;Sustraídos;64.354
America Movil Peru S.A.C.;jul-17;2017;Perdidos;29.572
America Movil Peru S.A.C.;jul-17;2017;Recuperados;4.568
Entel Peru S.A.;jul-17;2017;Perdidos;756
Entel Peru S.A.;jul-17;2017;Recuperados;3.604
Entel Peru S.A.;jul-17;2017;Sustraídos;54.498
Flash Servicios Peru S.R.L.;jul-17;2017;Recuperados;2
Flash Servicios Peru S.R.L.;jul-17;2017;Sustraídos;44
Telefonica del Peru S.A.A.;jul-17;2017;Perdidos;25.735
Telefonica del Peru S.A.A.;jul-17;2017;Sustraídos;70.616
Telefonica del Peru S.A.A.;jul-17;2017;Recuperados;3.812
Viettel Peru S.A.C.;jul-17;2017;Perdidos;2.757
Viettel Peru S.A.C.;jul-17;2017;Recuperados;356
Viettel Peru S.A.C.;jul-17;2017;Sustraídos;9.158
America Movil Peru S.A.C.;ago-17;2017;Perdidos;28.650
America Movil Peru S.A.C.;ago-17;2017;Sustraídos;62.416
America Movil Peru S.A.C.;ago-17;2017;Recuperados;4.639
Entel Peru S.A.;ago-17;2017;Recuperados;3.518
Entel Peru S.A.;ago-17;2017;Sustraídos;54.801
Entel Peru S.A.;ago-17;2017;Perdidos;684
Flash Servicios Peru S.R.L.;ago-17;2017;Sustraídos;28
Flash Servicios Peru S.R.L.;ago-17;2017;Perdidos;1
Telefonica del Peru S.A.A.;ago-17;2017;Perdidos;24.843
Telefonica del Peru S.A.A.;ago-17;2017;Recuperados;3.868
Telefonica del Peru S.A.A.;ago-17;2017;Sustraídos;64.511
Viettel Peru S.A.C.;ago-17;2017;Sustraídos;38.835
